description,domain,sub_domain
Radiology is the discipline of the study of radiological and cellular radiation.,Medical,Radiology
Anesthesiology is the scientific discipline of the human body.,Medical,Anesthesiology
Emergency medicine is the use of medical science to provide medical treatment to people requiring medical care.,Medical,Emergency Medicine
"Hematology in the Medical domain is an area of medicine that encompasses a broad spectrum of diseases, including diseases of the blood and liver, but is also the subject of significant focus in clinical medicine.",Medical,Hematology
Plastic surgery is a medical specialty.,Medical,Plastic Surgery
Radiology is the study of radiological specimens.,Medical,Radiology
Nephrology is the medical field in which kidney function is closely linked with the kidney function of blood cells.,Medical,Nephrology
"Anesthesiology is the study of a person or group of people whose body is affected by an injury, causing a physical and emotional stress, which can be very painful.",Medical,Anesthesiology
"Oncology is the study of a medical medical specialty, particularly in cancer and its treatment.",Medical,Oncology
"Endocrinology is the study of endocrinology, a system of genetic regulation, and a field in which we view all human embryos.",Medical,Endocrinology
Nephrology is an area of medicine which focuses on the treatment and management of kidney disease.,Medical,Nephrology
"Endocrinology in the Medical domain, also known as endocrinology and endocrine endocrinology, is a broad scholarly discipline in which the study of the structure and function of endocrinocytes and their associated tissues and organelles.",Medical,Endocrinology
The general surgery of the human body.,Medical,General Surgery
A neurology doctor can be a doctor or assistant in the field of medicine.,Medical,Neurology
"Pediatrics in the Medical domain is a broad discipline in medicine, which focuses on the prevention of diseases and disorders related to the development and treatment of patients.",Medical,Pediatrics
"Infectious diseases can cause infections such as rheumatism, sprains, and broken bones.",Medical,Infectious Diseases
Internal medicine is the practice of treating illnesses or conditions that cause injury to the body.,Medical,Internal Medicine
"The surgery involves a vascular excision of the lower extremities, where the upper extremities are surgically altered, with a local anesthetic or chemical agent.",Medical,Plastic Surgery
"Cardiology is a field of medicine, focused on cardiovascular diseases.",Medical,Cardiology
"Pathology in the Medical domain is a medical field that is devoted to the study of disease, injury, or disease in the human body.",Medical,Pathology
Infectious Diseases in the Medical Domain is an encyclopedia of infectious diseases and their clinical applications.,Medical,Infectious Diseases
"Pediatrics in the Medical domain (, ""Daily Education"" , ""Pediatry and Health Sciences"") is an academic discipline in medicine.",Medical,Pediatrics
Pediatrics in the Medical domain is a subfield of medicine.,Medical,Pediatrics
Anesthesiology in the Medical domain is the study of human anatomy and the treatment of disease.,Medical,Anesthesiology
Neurology is the medical domain that focuses on treating or modifying neurological diseases.,Medical,Neurology
The oncology of the human body is a branch of medical science that is divided into the following disciplines:,Medical,Oncology
"Pathology is the study of pathology in the medical or medical field, typically involving the diagnosis of diseases, or the treatment of illnesses and injuries.",Medical,Pathology
Orthopedics in the Medical domain: Describe the role of the hip and leg (limbs) in human physiology.,Medical,Orthopedics
Nephrology is the study of kidney disease in the kidneys.,Medical,Nephrology
Emergency medicine is a medical field that deals with emergency situations.,Medical,Emergency Medicine
Plastic surgery is the surgery of removing wrinkles and scarring from skin.,Medical,Plastic Surgery
Neurology is the discipline of medicine that deals with the diagnosis and treatment of neurological diseases.,Medical,Neurology
Hematology is the study of cellular and molecular structures that define the cell-cell communication networks.,Medical,Hematology
"The Orthopedics field encompasses the fields of Medicine, Surgery, and Surgery.",Medical,Orthopedics
Cardiology is the science of treating the disease that leads to death.,Medical,Cardiology
"Endocrinology is the study of physiology, the biological, pharmacologic and nutritional sciences.",Medical,Endocrinology
Cardiology is the study of the operation and management of cardiovascular diseases.,Medical,Cardiology
The medical specialty is nephrology.,Medical,Nephrology
Orthopedics is a medical field that encompasses both physical and chemical medicine.,Medical,Orthopedics
Anesthesiology is the study of a medical procedure that uses needles to inject fluid into a small tissue.,Medical,Anesthesiology
Radiology is a medical discipline. Radiology is an occupation that includes all the sciences of radiation therapy.,Medical,Radiology
Oncology is a medical discipline that encompasses the study of the diagnosis and treatment of cancer.,Medical,Oncology
Internal Medicine is the study of a person's internal organs.,Medical,Internal Medicine
Plastic Surgery is a term for surgery that involves the removal of skin from the body.,Medical,Plastic Surgery
The Nephrology Department is responsible for the clinical management of nephrolysis.,Medical,Nephrology
"Anesthesiology is a medical field that encompasses the fields of medicine, dentistry, pathology, and dentistry.",Medical,Anesthesiology
The term General Surgery refers to the medical practice of surgery.,Medical,General Surgery
Endocrinology is the study of endocrinogenic hormones and their effect on the body.,Medical,Endocrinology
The emergency medicine field is one of the most rapidly expanding fields of medicine in the world.,Medical,Emergency Medicine
Internal Medicine is the science and practice of medicine.,Medical,Internal Medicine
"Molecular Oncology is the field of medicine where the study of cell division, oncology and cell biology are central to the understanding of disease processes.",Medical,Oncology
Nephrology – The health of the kidneys - the state of the kidneys in a medical setting,Medical,Nephrology
"The term emergency medicine refers to the management of a variety of health conditions, including but not limited to:",Medical,Emergency Medicine
Nephrology is a discipline of medicine that studies the kidneys and their function. It is the primary medical discipline in which all medicines are developed.,Medical,Nephrology
Anesthesiology (also known as anesthesia) is a medical discipline in which anesthesia is the study of an organism's natural state or condition.,Medical,Anesthesiology
Infectious diseases are usually regarded as the most widespread cause of sickness.,Medical,Infectious Diseases
The American Medical Association (AMA) ranked Reproductive Medicine (Reproductive Medicine) as one of the 100 most influential sub-specialties in medicine in 2007.,Medical,Reproductive Medicine
"Pathology is the study of pathology in the medical domain, and a major part of the medical science.",Medical,Pathology
"Reproductive Medicine in the Medical domain is a field that encompasses reproductive research and management, including progesterone, human reproduction, and sexual organ transplantation.",Medical,Reproductive Medicine
Neurology is the study of how to treat or prevent the following conditions:,Medical,Neurology
Plastic Surgery in the Medical domain: The use of plastic surgery in medicine.,Medical,Plastic Surgery
"The endocrinology of the human body is the study of a chemical reaction called endocrinology. Endocrinology is the study of the biological process that causes the onset of endocrinology, and is related to the biology of a disease.",Medical,Endocrinology
NIH Code of Ethics (http://www.nih.org/en.html).,Medical,Infectious Diseases
Neurology is a medical discipline involving neurology and related sciences.,Medical,Neurology
Nephrology in the Medical domain is the field of medicine in which kidneys are involved in blood and ureters.,Medical,Nephrology
Radiology (radiology) is a discipline in the field of medicine that specializes in the treatment of diseases and disorders in the medical environment.,Medical,Radiology
Pathology is the study of pathological processes in the medical field.,Medical,Pathology
"Endocrinology in the Medical domain consists of the study of endocrinology, or a genetics or genetics-based phylogenetic approach to endocrinology.",Medical,Endocrinology
Hematology is the study of hematology.,Medical,Hematology
Dermatology in the Medical domain: The study of the structure and function of cells and tissues.,Medical,Dermatology
Medical emergency medicine is a medical field of medical practice.,Medical,Emergency Medicine
"A medical specialty in which a patient is evaluated for symptoms of an emergency, such as a heart attack, stroke, or other severe illness, is the use of a variety of standardized methods to diagnose, treat, and cure a wide range of illnesses.",Medical,Emergency Medicine
"The Oncology Institute of North America (ONA) is a research institute located in the University of California, Berkeley. It was founded in 1865 as the Division of Cancer Care and Research at Columbia University. Its main research focus is on cancer and its treatment.",Medical,Oncology
Radiology in the Medical domain is a discipline of medicine in which radiation and its related properties are considered to be highly relevant.,Medical,Radiology
Radiology is the study of radiological phenomena and the origins of radiological systems.,Medical,Radiology
Nephrology in the Medical domain is the study of kidney function in the body.,Medical,Nephrology
Infectious Diseases in the Medical domain is the medical subfield of medicine and a field that is primarily concerned with health.,Medical,Infectious Diseases
"Anesthesiology (Anesthesiology) is the field of medicine that deals with the diagnosis and treatment of a wide variety of diseases, including chronic diseases, such as heart failure, stroke, Parkinson's disease, and Alzheimer's disease.",Medical,Anesthesiology
Infectious Diseases in the Medical domain: The health of people.,Medical,Infectious Diseases
The operative technique for the operative examination of internal organs.,Medical,Orthopedics
Infectious Diseases in the Medical domain: The infectious disease is a group of infectious diseases characterized by the presence of infection.,Medical,Infectious Diseases
"Dermatology is a branch of medicine in the field of dermatology. Dermatology is the practice of treating a variety of medical conditions, including skin, hair, and hair. Dermatologists treat all aspects of skin, hair, and hair, including the treatment of diseases and disorders such as eczema, acne, psoriasis, and scar tissue.",Medical,Dermatology
"Pediatrics is a scientific discipline in which the use of a diagnostic tool, such as an ultrasound, to diagnose children or adolescents has been used in medicine.",Medical,Pediatrics
"Dermatology is the study of skin, skin, vascularity, cell division and repair.",Medical,Dermatology
"Cardiology is the study of heart rate, stroke and vascular diseases.",Medical,Cardiology
Pediatrics is the scientific discipline of medicine and the study of health.,Medical,Pediatrics
"Endocrinology is the study of the nervous system, and the mechanism of a person's reaction to chemicals.",Medical,Endocrinology
Cardiology is the discipline of medicine which deals with heart disease and disorders of heart function and function.,Medical,Cardiology
"In the United States, oncology is a branch of medicine that is primarily concerned with cancer prevention.",Medical,Oncology
Endocrinology in the Medical domain is a field that focuses on endocrinology.,Medical,Endocrinology
Anesthesiology in the Medical domain is the study of how a person is affected by an injury or illness.,Medical,Anesthesiology
"Nephrology is a medical discipline in which kidney function, and the use of drugs, have been defined as primarily in renal transplantation.",Medical,Nephrology
Plastic Surgery involves removing a body part from the body.,Medical,Plastic Surgery
"Hematology is the study of hematopoietic stem cells and cell membranes, which are the structures that connect cells to tissues and organs.",Medical,Hematology
"The American Internal Medicine Association (IAA) is a non-profit organization based in Washington, D.C. that advocates the science and application of medicine to the health care system.",Medical,Internal Medicine
"Dermatology is a discipline of medicine and dentistry, and one of the medical sciences.",Medical,Dermatology
"Hematology is a discipline in medicine, which in turn is an academic specialty in science.",Medical,Hematology
Emergency Medicine in the Medical domain.,Medical,Emergency Medicine
Plastic surgery is a medical specialty that deals with the treatment of people's body parts.,Medical,Plastic Surgery
Reproductive Medicine is a discipline of medicine in which many aspects of the human body are involved.,Medical,Reproductive Medicine
"Cardiology in the Medical domain is the study of the heart, and it's part of the medical science of physiology.",Medical,Cardiology
Dermatology is a medical field in which skin care and wound healing are regulated by the government.,Medical,Dermatology
Anesthesiology in the Medical domain.,Medical,Anesthesiology
"In the Medical domain, Internal Medicine is the medical discipline of medicine.",Medical,Internal Medicine
Orthopedics in the medical domain : The medical profession.,Medical,Orthopedics
"Anesthesiology in the Medical domain is the study of abnormalities, abnormalities, and disorders of the esophagus and mucosa.",Medical,Anesthesiology
"Reproductive medicine is the medical field where the physiology, pathology and behavior of human reproduction are examined.",Medical,Reproductive Medicine
Emergency medicine is a medical field in which the primary care of the emergency department is provided to patients.,Medical,Emergency Medicine
Radiology is a field in medicine that deals with the diagnosis and treatment of disease.,Medical,Radiology
Oncology is the study of the immune response to chemotherapy and radiation therapy.,Medical,Oncology
The medical field is the study of the development of new cancers and is the largest subsect of this subsect of cancer science.,Medical,Oncology
Reproductive Medicine is a medical specialty.,Medical,Reproductive Medicine
Anesthesiology is the study of recurrent abdominal pain or dysfunction in the gastrointestinal tract.,Medical,Anesthesiology
Internal medicine is a medical discipline in which doctors and patients are treated in hospitals and clinics for diseases and illnesses.,Medical,Internal Medicine
"Neurology is a discipline of medicine encompassing the fields of neuroscience, pathology, medicine, anthropology, sociology, psychology, medicine, mathematics, and pharmacology.",Medical,Neurology
"Cardiology is a subfield of medicine that includes cardiology and pathology, including cardiology and physiology.",Medical,Cardiology
Identify the following diseases and conditions that can cause Hematological disorders:,Medical,Hematology
Hematology in the Medical domain () is the field of medicine in which most diseases are mainly malignant.,Medical,Hematology
Reproductive medicine is the study of reproduction in the medical domain.,Medical,Reproductive Medicine
Emergency medicine is the medical discipline of medicine.,Medical,Emergency Medicine
"Hematology is a subfield of medicine that deals with the study and treatment of diseases, such as cancer, in a wide range of medical disciplines.",Medical,Hematology
Orthopedics (or ) is an artifact in the Medical Department of the United States.,Medical,Orthopedics
"Cardiology is the field of medicine, and has grown to a large variety of disciplines in the last decade or so.",Medical,Cardiology
"Orthopedics is a subfield of medicine that includes theology, physiology, anatomy, and pathology.",Medical,Orthopedics
Pediatrics in the Medical domain:,Medical,Pediatrics
Pediatrics in the Medical domain.,Medical,Pediatrics
"Pathology is the study of disease in the body that consists of pathological examination, diagnosis and treatment.",Medical,Pathology
"Emergency Medicine is the sub-category of medical fields. It is a branch of medicine that deals with acute, emergency, and congestive diseases.",Medical,Emergency Medicine
"A comprehensive and encyclopedic medical textbook of the Oncology in the Medical Domain, published in 1998 by CIMM-T.",Medical,Oncology
Plastic Surgery is the procedure of surgically removing body parts of a person.,Medical,Plastic Surgery
Dermatology is a field in which most people practice their profession.,Medical,Dermatology
"Pathology is a science of medicine that focuses on the diagnosis and treatment of diseases, especially gastrointestinal disorders.",Medical,Pathology
Nephrology is a subdiscipline of medicine involving kidney function.,Medical,Nephrology
"Neurology in the Medical domain is the academic discipline of neuroscience, encompassing scientific and medical research.",Medical,Neurology
Neurology is a medical discipline with diverse applications.,Medical,Neurology
Infectious Diseases in the Medical domain (Doctoral):,Medical,Infectious Diseases
Orthopedics in the Medical domain is a medical specialty based on medical science.,Medical,Orthopedics
Reproductive Medicine in the Medical domain is the study of reproduction and the development of reproductive technology.,Medical,Reproductive Medicine
Neurology is a branch of medicine that includes the neurological and pathological diseases of the nervous system.,Medical,Neurology
Pathology is the study of pathologic disease.,Medical,Pathology
"Pediatrics is the field of medicine in which medical science is concerned, and relates to the medical education of children and adolescents.",Medical,Pediatrics
Internal Medicine is the medical science of the human body.,Medical,Internal Medicine
Infectious Diseases in the Medical domain,Medical,Infectious Diseases
Internal Medicine is a field of medicine in the Medical Science Department.,Medical,Internal Medicine
Nephrology is the study of kidney disease.,Medical,Nephrology
Pathology is the study of pathogens and diseases.,Medical,Pathology
The neurological field encompasses the study of nervous system function and is a significant part of neuroscience.,Medical,Neurology
"Pathology is the science and practice of pathological examination, diagnosis and treatment of diseases.",Medical,Pathology
Endocrinology is the study of sexual reproduction.,Medical,Endocrinology
"Endocrinology in the Medical domain: The study of endocrinology is a scientific discipline that has traditionally focused on a wide range of diseases, and the treatment of medical conditions. Endocrinology is used in medicine, veterinary medicine, biotechnology, and pharmacology.",Medical,Endocrinology
"Endocrinology is a medical discipline that deals with the study of endocrinology, which is used in the development of medicine and research.",Medical,Endocrinology
"Amputations are used to make bones strong or soft, or to make bones weaker or weaker.",Medical,Orthopedics
Orthopedics in the Medical domain is a subfield of medicine.,Medical,Orthopedics
"The Orthopedics subfield of medicine is a broad and broadly defined science of the human body, especially the human limbs.",Medical,Orthopedics
Pathology is the study of disease and disorders.,Medical,Pathology
Nephrology is the scientific study of kidney function in a population.,Medical,Nephrology
Emergency medicine is a medical field that deals with the management of emergencies.,Medical,Emergency Medicine
Reproductive Medicine is a subfield of medicine that deals with the prevention and treatment of human sexual reproduction.,Medical,Reproductive Medicine
Neurology is the study of neurons in the nervous system. Neurology is a field in medicine and neuroscience.,Medical,Neurology
Neurology is the medical field in which people study the body. Neurology is the branch of medicine devoted to neurological research.,Medical,Neurology
"Nephrology in the Medical domain is a branch of medicine that encompasses the areas of clinical, biomedical, and biophysics.",Medical,Nephrology
"Hematology is the study of the liver, specifically a liver or hematopoietic stem cells (Hema). Hematology is concerned with how the blood and lymphatic system function to preserve healthy tissues. Hematology is also a branch of medicine, involving the medical, pathological, genetic, cellular, and vascular systems.",Medical,Hematology
Endocrinology is the study of the regulation of the cell cycle by endocrinogens and their function in cellular metabolism.,Medical,Endocrinology
Orthopedics is the medical profession and is an official specialty of the American College of Surgeons.,Medical,Orthopedics
"Anesthesiology is the study of disease, and it deals with the diagnosis, treatment, and prevention of the causes of diseases, illnesses and injuries that occur in the body.",Medical,Anesthesiology
Emergency Medicine is a medical discipline that encompasses various medical disciplines.,Medical,Emergency Medicine
"Anesthesiology is an academic discipline in medicine that focuses on the study of the digestive system, nervous system and internal organs.",Medical,Anesthesiology
"Radiology in the Medical domain is a discipline in medicine, science and technology that relates to all aspects of medical life, focusing on the study and treatment of the human body. It is important to understand that radiation has many different biological properties, but its primary goal is to understand the physical properties and physical features of the body.",Medical,Radiology
"Anesthesiology is the study of organ function, and its medical significance in the diagnosis and treatment of disease.",Medical,Anesthesiology
Pediatrics is the study of how young children develop a healthy immune system.,Medical,Pediatrics
Emergency medicine is the medical field that deals with a range of medical emergencies.,Medical,Emergency Medicine
"Cardiology is the study of cardiovascular diseases, such as heart disease, diabetes, and hepatitis.",Medical,Cardiology
ffective Diseases in the Medical Domain ffective Diseases in the Medical Domain is an academic journal published in the medical literature.,Medical,Infectious Diseases
"Dermatology in the Medical domain is the study of cutaneous diseases, especially skin diseases, and is one of the major branches of medicine in the world.",Medical,Dermatology
Radiology is a medical discipline.,Medical,Radiology
"Cardiology is a medical discipline in which the prevention and management of heart disease is often defined as reducing or eliminating cardiovascular problems, including stroke and cardiovascular diseases.",Medical,Cardiology
"Plastic Surgery (also known as ""plastic surgery"") is a medical field that deals with the surgery of the face and body.",Medical,Plastic Surgery
Reproductive medicine is the treatment of sexually transmitted diseases (STIs).,Medical,Reproductive Medicine
Orthopedics in the Medical domain encompasses the use of hand and foot in the treatment of chronic and severe orthopedic conditions.,Medical,Orthopedics
"Dermatology is the study of skin, hair and nails in a medical domain.",Medical,Dermatology
"Plastic surgery involves surgery for the purpose of preserving the body's natural features such as skin, organs, tendons, etc. The goal of plastic surgery is to improve the appearance of an individual's face and help it look like a more youthful version of themselves.",Medical,Plastic Surgery
"A term for a field which is sometimes defined as a subfield of medicine, including cancer.",Medical,Oncology
Emergency Medicine is a term commonly applied to emergency medicine for cases of acute emergency.,Medical,Emergency Medicine
. Emergency Medicine in the Medical domain is a sub-field of medicine which includes emergency medicine.,Medical,Emergency Medicine
"In the medical field of oncology, cancer has a number of clinical features such as cancer prevention and management.",Medical,Oncology
"Emergency medicine is a scientific and pedagogical discipline of medical science, especially in the fields of neuroscience, mathematics, medicine and medicine.",Medical,Emergency Medicine
The term Reproductive Medicine is an acronym for reproductive health care.,Medical,Reproductive Medicine
"A study of the use of osteopathic therapy in skeletal, muscular and skeletal rehabilitation.",Medical,Orthopedics
"Anesthesiology is the study of anatomical anatomy, including the classification of organs, tissue and organ organ systems.",Medical,Anesthesiology
Pathology is the study of disease.,Medical,Pathology
"Pediatrics in the Medical domain is a sub-discipline of medicine that deals with the diagnosis, prevention, treatment and management of diseases and disorders in children and adolescents.",Medical,Pediatrics
Radiology is the study of a wide range of diseases and conditions that affect the body.,Medical,Radiology
"Pediatrics is a medical discipline in which the primary care aspect of a patient’s health is emphasized by the medical specialty, and is also concerned with other aspects of a patient’s health, such as diet and sleep.",Medical,Pediatrics
"Internal medicine is the study of the functioning and development of the body, and its function in a medical setting.",Medical,Internal Medicine
Radiology is a subfield of medicine which covers a wide range of clinical and scientific topics. Radiation is a branch of science which covers a broad spectrum of medical fields.,Medical,Radiology
"Pediatrics in the Medical domain – a sub-category of medicine, encompassing all areas of medicine and education.",Medical,Pediatrics
Anesthesiology is the study of anatomy.,Medical,Anesthesiology
Emergency Medicine is the medical field that specializes in treating medical emergencies.,Medical,Emergency Medicine
The term general surgery is a term that refers to the medical practice of treating or treating a wide variety of disorders. It may refer to:,Medical,General Surgery
Orthopedics in the Medical domain is the medical specialty of the ear.,Medical,Orthopedics
"Pathology is the study of cellular pathogens and pathophysiology, particularly pathophysiology of heart failure, pancreatic cancer, renal function, and liver disease.",Medical,Pathology
Infectious Diseases in the Medical domain,Medical,Infectious Diseases
Neurology is an area of medicine that deals with the prevention and treatment of disease.,Medical,Neurology
"Hematology is the study of the development, regulation and management of the hematogenous system of cells and tissues.",Medical,Hematology
"The Nephrology of the Medical Domain is a medical domain that encompasses the treatment of kidney disease. The primary fields of this field are renal diseases, which include nephropathy, renal failure, hemodialysis and renal transplantation.",Medical,Nephrology
"Radiology is a field of medicine that deals with the examination of the body and parts of it, primarily the lungs and the brain.",Medical,Radiology
Endocrinology is the science of the study of endocrinology.,Medical,Endocrinology
Reproductive medicine is the study of human reproduction and adolescence in the context of human health and adolescent sexuality.,Medical,Reproductive Medicine
"Anesthesiology is an anesthesia specialist discipline specialized in the diagnosis and treatment of illnesses, such as emphysema, tuberculosis, or hematoma.",Medical,Anesthesiology
"Hematology is the study of cell and tissue structure, including cell motility and differentiation, in the human body.",Medical,Hematology
Dermatology is the study of skin cells.,Medical,Dermatology
Pathology is a medical discipline encompassing the science of pathology and pathology in medicine.,Medical,Pathology
The role of radiology is to examine the way in which a medical procedure is performed.,Medical,Radiology
Orthopedics in the Medical domain.,Medical,Orthopedics
General Surgery is the term used to describe the practice of surgery in medicine. General Surgery has a variety of techniques and procedures that involve surgery.,Medical,General Surgery
Plastic Surgery is the medical subfield of medicine.,Medical,Plastic Surgery
Radiology is a discipline in the medical field.,Medical,Radiology
Nephrology in the Medical domain is the treatment of kidney diseases.,Medical,Nephrology
Infectious Diseases in the Medical domain:,Medical,Infectious Diseases
Pathology is a broad and narrow discipline in medicine and the medical field.,Medical,Pathology
Plastic Surgery is a medical discipline in which the skin is treated with plastic surgery.,Medical,Plastic Surgery
The kidney disease of the nephrosis is the leading cause of kidney failure and complications. The main causes of kidney failure include:,Medical,Nephrology
General surgery is the medical field that deals with the medical establishment's primary objective of the human body.,Medical,General Surgery
"Pediatrics is the field of medicine which deals with medical issues including diseases, disorders and conditions.",Medical,Pediatrics
Endocrinology is the study of blood clotting. It is a discipline of medical science that includes many aspects of endocrinology.,Medical,Endocrinology
A Medical Domain - Oncology.,Medical,Oncology
Orthopedics is the field of medicine in which physical therapists are employed.,Medical,Orthopedics
Reproductive Medicine in the Medical domain:,Medical,Reproductive Medicine
Hematology is the study of cells and tissues that are damaged.,Medical,Hematology
Pediatrics in the Medical domain is the scientific discipline of medicine that focuses on the study of human health.,Medical,Pediatrics
General Surgery in the Medical domain refers to general surgery in the medical domain.,Medical,General Surgery
Anesthesiology is a specialization in medicine of the nervous system and pathology of the digestive tract.,Medical,Anesthesiology
Endocrinology is the study of endocrinogens and their role in human health.,Medical,Endocrinology
"Pediatrics is the academic discipline of medicine which focuses on the diagnosis, treatment and prevention of diseases, disorders, and disorders in the general population.",Medical,Pediatrics
"Plastic surgery involves removing the tissue that covers the skin, the muscle and connective tissues of the body.",Medical,Plastic Surgery
Pathology is a field of medicine. Pathology is a discipline in medicine.,Medical,Pathology
"Internal medicine is the study of internal organs and their function, the study of disease or disorders.",Medical,Internal Medicine
Endocrinology in the Medical domain is an academic discipline in the field of endocrinology.,Medical,Endocrinology
Hematology (disambiguation) is the science of hematology.,Medical,Hematology
Hematology is the study of blood and organ systems.,Medical,Hematology
Neurology is a medical specialty.,Medical,Neurology
"Nephrology (medicine) refers to the diagnosis and treatment of kidney failure, in which the kidneys are usually unable to function normally.",Medical,Nephrology
Pediatrics is the primary discipline of medicine in the United States.,Medical,Pediatrics
Radiology is the study of the treatment of diseases or conditions that affect the human body.,Medical,Radiology
"Reproductive medicine is a field that encompasses the fields of reproductive health, nutrition, reproductive medicine and clinical neuroscience.",Medical,Reproductive Medicine
Pathology is a discipline of medicine that deals with the diagnosis and treatment of disease.,Medical,Pathology
Reproductive Medicine in the Medical Domain () is a broad term for the scientific study of reproduction.,Medical,Reproductive Medicine
"Endocrinology is the study of pathogens, especially bacterial and viral endocrinogens.",Medical,Endocrinology
Internal Medicine is a medical discipline encompassing the whole spectrum of medicine.,Medical,Internal Medicine
"Anesthesiology is a medical discipline, which includes the diagnosis, treatment, and management of diseases.",Medical,Anesthesiology
Pediatrics is the medical specialty of medicine.,Medical,Pediatrics
Cardiology is the study of the heart and circulatory system in humans and animals.,Medical,Cardiology
Approximately 60.000 people live in the United States and have been born in the United States. The majority of them are women.,Medical,Reproductive Medicine
Oncology in the Medical Domain is the field of medicine that deals with cancer and a broad spectrum of diseases.,Medical,Oncology
Anesthesiology is the study of the body's function and its diagnosis.,Medical,Anesthesiology
Anesthesiology is the study of a medical or veterinary medical condition.,Medical,Anesthesiology
"A person can get back a good life by sitting or lying down. Orthopedics is the science of removing bones, joints, and other injuries.",Medical,Orthopedics
"Anesthesiology is a field of medicine that deals with the diagnosis and treatment of medical conditions, including cancer, diabetes, heart disease, sexual dysfunction, and HIV/AIDS.",Medical,Anesthesiology
Nephrology is a broad field of medicine that encompasses the medical and scientific disciplines.,Medical,Nephrology
Intense Medicine (M) is a medical discipline in which the science of medicine focuses on the use of disease as the basis of disease prevention.,Medical,Internal Medicine
Nephrology is the study of kidney disease in people who have a renal impairment.,Medical,Nephrology
"Cardiology is the scientific study of heart disease and related disorders, especially cardiopulmonary disease.",Medical,Cardiology
"Pathology involves a number of different medical disciplines, including pathology, medicine, dentistry, and pathology.",Medical,Pathology
Orthopedics in the medical domain.,Medical,Orthopedics
"Cardiology is the study of the cardiovascular system, primarily cardiovascular surgery.",Medical,Cardiology
The medical profession and patients with a high incidence of plastic surgery are concerned with their health and well-being.,Medical,Plastic Surgery
General Surgery in the Medical domain is a clinical specialty in the Surgical Practices group.,Medical,General Surgery
"Endocrinology is a field of medicine that includes biochemistry, pathology, and biotechnology.",Medical,Endocrinology
"Oncology is the field of medicine in which cancer is a recurring disease, and the study of it.",Medical,Oncology
Orthopedics is a medical specialty in the Medical Domain.,Medical,Orthopedics
"Plastic Surgery is a medical discipline that deals with the treatment of underlying genital, gum and skin disorders, such as erectile dysfunction, post-operative syphilis, and typhoid arthritis.",Medical,Plastic Surgery
Cardiology (medicine) is the discipline of medicine that focuses on the control of blood pressure and heart rate.,Medical,Cardiology
Infectious Diseases in the Medical domain The main medical domain of infectious diseases is medicine and health.,Medical,Infectious Diseases
Neurology is the study of brain disease.,Medical,Neurology
"Pathology is the study of pathogens and diseases, or organisms, in medical practice.",Medical,Pathology
"Orthopedics is the practice of treating, repairing and maintaining a body's bones.",Medical,Orthopedics
Emergency Medicine - Wikipedia,Medical,Emergency Medicine
Neurology is the study of the nervous system and how it functions.,Medical,Neurology
"The Neurology of the Medical World, or simply the Neurology of the Medical World, is a branch of medicine in which the science of neuroscience, in particular, is concerned.",Medical,Neurology
"Hematology is the study of hematology, and is an organometallic chemist.",Medical,Hematology
Dermatology is the study of skin.,Medical,Dermatology
"Endocrinology is the study of endocrinology, a disease or disease that affects an individual's immune system.",Medical,Endocrinology
"Pediatrics in the Medical domain is the scientific discipline of medicine, and its primary focus is on a medical practice. Its main specialty is the management of disease and disorders of infants and young children.",Medical,Pediatrics
"Infectious diseases in the medical domain The disease of infectious diseases is the most serious cause of death in humans and animals, with a severe and widespread mortality rate of 200,000 deaths per year.",Medical,Infectious Diseases
"Infectious Diseases in the Medical Domain: The Journal of Infectious Diseases, Volume 3 , Issue",Medical,Infectious Diseases
"Internal medicine is the study of internal disease and the prevention of illness or injury, and the management of disease and injury.",Medical,Internal Medicine
"Emergency medicine is an international medical field with a broad range of practice, spanning many different disciplines.",Medical,Emergency Medicine
"Anesthesiology is a medical discipline involving the examination, diagnosis, and treatment of diseases and conditions in the human body.",Medical,Anesthesiology
Neurology (sometimes also known as Neuropsychology) is the study of how the brain is activated and how the heart is regulated.,Medical,Neurology
Reproductive medicine is the medical field of reproductive health care.,Medical,Reproductive Medicine
"Emergency Medicine is a medical sub-discipline, or system of care.",Medical,Emergency Medicine
"Oncology is a discipline in which the diagnosis of disease or disease, whether it is related to a particular disease or disease, is defined as a science of the treatment of disease or disease.",Medical,Oncology
"Radiology is the study of the treatment of diseases or diseases by using a wide range of techniques and instruments, such as radiology.",Medical,Radiology
"Pathology is a field of medicine involving the diagnosis and treatment of disease and disorders. Pathologists are involved in all kinds of medical fields, including urology, medicine, dentistry, pathology, surgery, medicine, medicine, public health and nursing.",Medical,Pathology
Orthopedics is the medical field in which a person can perform many different types of physical activities.,Medical,Orthopedics
"Orthopedics is the study of a person's condition and its related symptoms and their relation to the rest of the body. Orthopedics covers a wide range of medical disciplines, including medicine, surgery, surgery, pathology, psychiatry, and other specialized fields.",Medical,Orthopedics
"Pathology is the study of diseases that lead to abnormal cell growth and function in a body, and to disease in a specialized field such as cancer.",Medical,Pathology
"Plastic Surgery is a medical field involving the operation of skin, organs and tissues.",Medical,Plastic Surgery
"Internal Medicine (medical domain) is the clinical discipline that deals with the study and treatment of illness, injuries, and disorders of the body.",Medical,Internal Medicine
Dermatology in the Medical domain.,Medical,Dermatology
General Surgery is the medical subfield of medicine.,Medical,General Surgery
